"","lyrics","song","artist"
"43","The club isn't the best place to find a lover
So the bar is where I go (mm-mm)
Me and my friends at the table doing shots
Drinking fast, and then we talk slow (mm-mm)
You come over and start up a conversation with just me
And trust me, I'll give it a chance now (mm-mm)
Take my hand, stop, put ""Van the Man"" on the jukebox
And then we start to dance
And now I'm singing like

Girl, you know I want your love
Your love was handmade for somebody like me
Come on now, follow my lead
I may be crazy, don't mind me
Say, ""Boy, let's not talk too much
Grab on my waist and put that body on me""
Come on now, follow my lead
Come, come on now, follow my lead
(Mm-mm)

I'm in love with the shape of you
We push and pull like a magnet do
Although my heart is falling too
I'm in love with your body
Last night you were in my room
And now my bed sheets smell like you
Every day discovering something brand new
Oh, I'm in love with your body

Oh I, oh I, oh I, oh I
Oh, I'm in love with your body
Oh I, oh I, oh I, oh I
Oh, I'm in love with your body
Oh I, oh I, oh I, oh I
Oh, I'm in love with your body
Every day discovering something brand new
I'm in love with the shape of you

One week in we let the story begin
We're going out on our first date (mm-mm)
But you and me are thrifty, so go all-you-can-eat
Fill up your bag, and I fill up a plate (mm-mm)

We talk for hours and hours about the sweet and the sour
And how your family is doing okay (mm-mm)
And leave and get in a taxi, then kiss in the back seat
Tell the driver make the radio play
And I'm singing like

Girl, you know I want your love
Your love was handmade for somebody like me
Come on now, follow my lead
I may be crazy, don't mind me
Say, ""Boy, let's not talk too much
Grab on my waist and put that body on me""
Come on now, follow my lead
Come, come on now, follow my lead
(Mm-mm)

I'm in love with the shape of you
We push and pull like a magnet do
Although my heart is falling too
I'm in love with your body
Last night you were in my room
And now my bed sheets smell like you
Every day discovering something brand new
Oh, I'm in love with your body

Oh I, oh I, oh I, oh I
Oh, I'm in love with your body
Oh I, oh I, oh I, oh I
Oh, I'm in love with your body
Oh I, oh I, oh I, oh I
Oh, I'm in love with your body
Every day discovering something brand new
I'm in love with the shape of you

Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on

I'm in love with the shape of you
We push and pull like a magnet do
Although my heart is falling too
I'm in love with your body
Last night you were in my room
And now my bed sheets smell like you
Every day discovering something brand new
Oh, I'm in love with your body

Come on, be my baby, come on
Come on, be my baby, come on (I'm in love with your body)
Come on, be my baby, come on
Come on, be my baby, come on (oh, I'm in love with your body)
Come on, be my baby, come on
Come on, be my baby, come on (I'm in love with your body)
Every day discovering something brand new
I'm in love with the shape of you
","Shape of You","Ed Sheeran"
"44","Ay (Fonsi, DY)
(Oh, oh) oh, no, oh no (oh)
Hey, yeah, diri-diri-diriridi, Daddy, go!

Sí, sabes que ya llevo un rato mirándote
Tengo que bailar contigo hoy (DY)
Vi que tu mirada ya estaba llamándome
Muéstrame el camino, que yo voy (oh)

Tú, tú eres el imán y yo soy el metal
Me voy acercando y voy armando el plan
Solo con pensarlo se acelera el pulso (oh, yeah)

Ya, ya me estás gustando más de lo normal
Todos mis sentidos van pidiendo más
Esto hay que tomarlo sin ningún apuro

Despacito
Quiero respirar tu cuello despacito
Deja que te diga cosas al oído
Para que te acuerdes si no estás conmigo
Despacito
Quiero desnudarte a besos, despacito
Firmar las paredes de tu laberinto
Y hacer de tu cuerpo todo un manuscrito (sube, sube, sube)
Sube, sube (oh)

Quiero ver bailar tu pelo, quiero ser tu ritmo
Que le enseñes a mi boca tus lugares favoritos
(Favoritos, favoritos, baby)
Déjame sobrepasar tus zonas de peligro
Hasta provocar tus gritos y que olvides tu apellido

Si te pido un beso, ven, dámelo
Yo sé que estás pensándolo
Llevo tiempo intentándolo
Mami, esto es dando y dándolo
Sabes que tu corazón conmigo te hace bam-bam
Sabes que esa beba está buscando de mi bam-bam

Ven, prueba de mi boca para ver cómo te sabe
Quiero, quiero, quiero ver cuánto amor a ti te cabe
Yo no tengo prisa, yo me quiero dar el viaje
Empezamos lento, después salvaje

Pasito a pasito, suave, suavecito
Nos vamos pegando poquito a poquito
Cuando tú me besas con esa destreza
Veo que eres malicia con delicadeza

Pasito a pasito, suave, suavecito
Nos vamos pegando poquito a poquito
Y es que esa belleza es un rompecabezas
Pero pa' montarlo, aquí tengo la pieza, oye

Despacito
Quiero respirar tu cuello despacito
Deja que te diga cosas al oído
Para que te acuerdes si no estás conmigo
Despacito
Quiero desnudarte a besos despacito
Firmar las paredes de tu laberinto
Y hacer de tu cuerpo todo un manuscrito (sube, sube, sube)
Sube, sube (oh)

Quiero ver bailar tu pelo, quiero ser tu ritmo
Que le enseñes a mi boca tus lugares favoritos
(Favoritos, favoritos, baby)
Déjame sobrepasar tus zonas de peligro
Hasta provocar tus gritos y que olvides tu apellido

Despacito
Vamo' a hacerlo en una playa en Puerto Rico
Hasta que las olas griten: ""¡ay, Bendito!""
Para que mi sello se quede contigo (báilalo)

Pasito a pasito, suave, suavecito
Nos vamos pegando poquito a poquito
Que le enseñes a mi boca tus lugares favoritos
(Favoritos, favoritos, baby)

Pasito a pasito, suave, suavecito
Nos vamos pegando poquito a poquito
Hasta provocar tus gritos y que olvides tu apellido (DY)
Despacito
","Despacito","Luis Fonsi & Daddy Yankee"
"45","Ayy, ayy, ayy

I got a condo in Manhattan
Baby girl, what's happenin'? (What's happenin'?)
You and your ass invited
So go on and get to clappin' (clap)
Go pop it for a player
Pop, pop it for me
Turn around and drop it for a player (drop it)
Drop, drop it for me (drop it)

I'll rent a beach house in Miami (-ami)
Wake up with no jammies (nope)
Lobster tail for dinner (yeah)
Julio, serve that scampi (Julio!)
You got it if you want it
Got, got it if you want it
Said, you got it if you want it
Take my wallet if you want it, now

Jump in the Cadillac
Girl, let's put some miles on it
Anything you want
Just to put a smile on it
You deserve it, baby, you deserve it all
And I'm gonna give it to you

Gold jewelry shining so bright
Strawberry champagne on ice
Lucky for you, that's what I like, that's what I like
Lucky for you, that's what I like, that's what I like
Sex by the fire at night
Silk sheets and diamonds all white
Lucky for you, that's what I like, that's what I like
Lucky for you, that's what I like, that's what I like

I'm talkin' trips to Puerto Rico (bih)
Say the word and we go (say it)
You can be my freaka (brr)
Girl, I'll be your fleeko
Mamacita, I will never make a promise that I can't keep
I promise that your smile ain't gon' never leave

Shopping sprees in Paris (oh)
Everything 24 karats (uh)
Take a look in that mirror (take a look)
Now, tell me who's the fairest?
Is it you? (Is it you?) Is it me? (Is it me?)
Say it's us (say it's us) and I'll agree, baby

Jump in the Cadillac
Girl, let's put some miles on it
Anything you want
Just to put a smile on it
You deserve it baby, you deserve it all
And I'm gonna give it to you

Gold jewelry shining so bright
Strawberry champagne on ice
Lucky for you, that's what I like, that's what I like
Lucky for you, that's what I like, that's what I like
Sex by the fire at night
Silk sheets and diamonds all white
Lucky for you, that's what I like, that's what I like
Lucky for you, that's what I like, that's what I like

You say you want a good time
Well, here I am, baby, here I am, baby
Talk to me, talk to me, talk to me
Talk to me, tell me, what's on your mind? (What's on your mind?)
If you want it, girl, come and get it
All this is here for you
Tell me, baby, tell me, tell me, baby
What you tryna do?

Gold jewelry shining so bright
Strawberry champagne on ice
Lucky for you, that's what I like, that's what I like (that's what I like, baby)
Lucky for you, that's what I like, that's what I like (oh, oh)
Sex by the fire at night
Silk sheets and diamonds all white
Lucky for you, that's what I like, that's what I like (that's what I like, baby)
Lucky for you, that's what I like, that's what I like (ooh, ooh, ooh)
","That's What I Like","Bruno Mars"
"46","Nobody pray for me
It been that day for me
Way
Yeah, yeah!

Ayy, I remember syrup sandwiches and crime allowances
Finesse on 'em with some counterfeits, but now I'm countin' this
Parmesan where my accountant lives, in fact, I'm downin' this
D'USSÉ with my boo bae tastes like Kool-Aid for the analysts

Girl, I can buy yo' ass the world with my paystub
I know that it's good, won't you sit it on my taste bluds?
I get way too petty once you let me do the extras
Pull up on your block, then break it down, we playin' Tetris

A.m. to the p.m., p.m. to the a.m., funk
Eat up your per diem, you just gotta hate 'em, funk
If I quit your BM, I still ride Mercedes, funk
If I quit this season, I still be the greatest, funk

My left stroke just went viral
Right stroke put lil' baby in a spiral
Soprano C, we like to keep it on a high note
It's levels to it, you and I know

Tell 'em, be humble (hol' up)
Sit down (hol' up, hol' up, lil', hol' up)
Be humble (hol' up)
Sit down (hol' up, sit down, lil', sit down, lil')
Be humble (hol' up, hol' up)
Sit down (hol' up, hol' up, lil', hol' up)
Be humble (hol' up)
Sit down (hol' up, hol' up, hol' up)

Be humble (hol' up, hol' up)
Sit down (hol' up, hol' up, lil', hol' up, lil')
Be humble (hol' up)
Sit down (hol' up, sit down, lil', sit down, lil')
Be humble (hol' up, hol' up)
Sit down (hol' up, hol' up, lil', hol' up)
Be humble (hol' up)
Sit down (hol' up, hol' up, hol' up, hol' up)

Who dat -a thinkin' that he frontin' on Man-Man? (Man-Man)
Get the f- off my stage, I'm the Sandman (Sandman)
Get the f- off my (ayy), that ain't right
I make a play blowing up your whole life

I'm so, so sick and tired of the Photoshop
Show me somethin' natural like afro on Richard Pryor
Show me somethin' natural, I wanna feel some stretch marks
Still I take you down right on your mama couch in Polo socks

Ayy, this shit way too crazy, ayy, you do not amaze me, ayy
I blew cool from AC, ayy, Obama just paged me, ayy
I don't fabricate it, ayy, most of y'all be fakin', ayy
I stay modest 'bout it, ayy, she elaborate it, ayy

This that Grey Poupon, that Evian, that TED Talk, ayy
Watch my soul speak, you let the meds talk, ayy
If I kill a, uhm, it won't be the alcohol, ayy
I'm the realest, uhm, after all

Tell 'em, be humble (hol' up)
Sit down (hol' up, hol' up, lil')
Be humble (hol' up)
Sit down (hol' up, sit down, lil', sit down, lil')
Tell 'em sit down (hol' up, hol' up, lil' hol' up)
Be humble (hol' up)
Sit down (hol' up, hol' up, hol' up, hol' up)

Be humble (hol' up, hol' up)
Sit down (hol' up, hol' up, lil' hol' up, lil')
Be humble (hol' up)
Sit down (hol' up, sit down, lil', sit down, lil')
Be humble (hol' up, hol' up)
Sit down (hol' up, hol' up, lil' hol' up)
Be humble (hol' up, hol' up)
Sit down (hol' up, hol' up, hol' up)
","Humble","Kendrick Lamar"
"47","Mm-mmm
Yeah, yeah
Mm-mmm
Yeah

My momma called, seen you on TV, son
Said shit done changed ever since we was on
I dreamed it all ever since I was young
They said I wouldn't be nothing
Now they always say congratulations
Worked so hard, forgot how to vacation
They ain't never had the dedication
People hatin', say we changed and look, we made it
Yeah, we made it

They was never friendly, yeah
Now I'm jumping out the Bentley, yeah
And I know I sound dramatic, yeah
But I know I had to have it, yeah
For the money, I'm a savage, yeah
I be itching like a addict, yeah
I'm surrounded, twenty bad bitches, yeah
But they didn't know me last year, yeah
Everyone wanna act like they important
(Yeah, yeah, yeah, yeah, yeah, yeah)
But all that mean nothing when I saw my dog
(Yeah, yeah, yeah, yeah, yeah, yeah)
Everyone counting on me, drop the ball
(Yeah, yeah, yeah, yeah, yeah, yeah)
Everything costing like I'm at the bottom, yeah, yeah
If you fuck with winning, put your lighters to the sky
How could I make sense when I got millions on my mind?
Coming with that bullshit, I just put it to the side
Balling since a baby, they could see it in my eyes

My momma called, seen you on TV, son
Said shit done changed ever since we was on
I dreamed it all ever since I was young
They said I wouldn't be nothing
Now they always say congratulations
Worked so hard, forgot how to vacation
They ain't never had the dedication
People hatin', say we changed and look we made it
Yeah, we made it

I was patient, yeah, oh
I was patient, aye, oh
Now I can scream that we made it
Now everyone, everywhere I go, they say 'gratulations
Young nigga, young nigga, graduation
I pick up the rock and I ball, baby
I'm looking for someone to call, baby
But right now, I got a situation
Nothing but old Ben-Ben Franklins
Big rings, champagne
My life is like a ball game
But instead, I'm in the trap though
Pot so big, call it Super Bowl
Super Bowl, call the hoes, get in the Rolls
Top-floor lifestyle, Huncho and Post
Malone, I got a play on my phone, aye
You know what I'm on, aye
Huncho Houdini is gone, aye

My momma called, seen you on TV, son
Said shit done changed ever since we was on
I dreamed it all ever since I was young
They said I wouldn't be nothing
Now they always say congratulations
Worked so hard, forgot how to vacation
They ain't never had the dedication
People hatin', say we changed and look we made it
Yeah, we made it

Hey, hey
Hey, hey
Hey, hey
Hey, hey
","Congratulations","Post Malone feat. Quavo"
"48","I met you in the dark
You lit me up
You made me feel as though
I was enough
We danced the night away
We drank too much
I held your hair back when
You were throwing up

Then you smiled over your shoulder
For a minute, I was stone cold sober
I pulled you closer to my chest
And you asked me to stay over
I said, ""I already told ya
I think that you should get some rest""

I knew I loved you then, but you'd never know
'Cause I played it cool when I was scared of letting go
I knew I needed you, but I never showed
But I wanna stay with you until we're grey and old
Just say you won't let go
Just say you won't let go

I'll wake you up with some breakfast in bed
I'll bring you coffee with a kiss on your head
And I'll take the kids to school
Wave them goodbye
And I'll thank my lucky stars for that night

When you looked over your shoulder
For a minute, I forget that I'm older
I wanna dance with you right now, oh
And you look as beautiful as ever
And I swear that everyday you'll get better
You make me feel this way somehow

I'm so in love with you
And I hope you know
Darling, your love is more than what its weight in gold
We've come so far my dear
Look how we've grown
And I wanna stay with you until we're grey and old
Just say you won't let go
Just say you won't let go

I wanna live with you
Even when we're ghosts
'Cause you were always there for me
When I needed you most

I'm gonna love you 'til my lungs give out
I promise 'til death we part like in our vows
So I wrote this song for you
Now everybody knows
That it's just you and me 'til we're grey and old
Just say you won't let go
Just say you won't let go

Just say you won't let go
Oh, just say you won't let go
","Say You Won't Let Go","James Arthur"
"49","Are you alright?
I'm alright, I'm quite alright
And my money's right
8... (yeah)
Countin' them bands
All way to the top 'til they be fallin' over
(Yeah, yeah, yeah)
Countin' them bands
On my way to the top 'til we fallin' over
I don't really care if you cry
On the real, you should've never lied
Should've saw the way she looked me in my eyes
She said, ""baby, I am not afraid to die""
Push me to the edge
All my friends are dead
Push me to the edge
All my friends are dead
Push me to the edge
All my friends are dead
Push me to the edge
Phantom that's all red, inside all white
Like somethin' you ride a sled down, I just want that head
My Brittany got mad, I'm barely her man now
Everybody got the same swag now
Watch the way that I tear it down
Stackin' my bands all the way to the top
All the way 'til my bands fallin' over
Every time that you leave your spot
Your girlfriend call me like, ""Come on over!""
I like the way that she treat me
Gon' leave you, won't leave me, I call it that Casanova
She say I'm insane, yeah
Wanna blow my brain out (hey)
Xanny, help the pain, yeah
Please, Xanny, make it go away
I'm committed, not addicted, but it keep control of me
All the pain, now I can't feel it
I swear that it's slowin' me, yeah
I don't really care if you cry
On the real, you should've never lied
Saw the way she looked me in my eyes
She said, ""I am not afraid to die"" (yeah)
All my friends are dead
Push me to the edge (yeah)
All my friends are dead, yeah, ooh
Push me to the edge
All my friends are dead, yeah
All my friends are dead, yeah
That is not your swag, I swear you fake hard
Now these niggas wanna take my cadence (yeah)
Rain on 'em, thunderstorm, rain on 'em (oh, yeah)
Make some, lil' nigga, take some (yeah, yeah)
Fast car, NASCAR, race on 'em
In the club, ain't got no ones, then we would become (yeah)
Clothes from overseas, got the racks and they all C-Notes
You is not a G though
Lookin' at you stackin' all your money, it all green though
I was countin' that and these all twenties, that's a G-roll
She say, ""You're the worst, you're the worst""
I cannot die because this my universe
I don't really care if you cry
On the real, you should've never lied
Should've saw the way she looked me in my eyes
She said, ""Baby, I am not afraid to die""
Push me to the edge
All my friends are dead
Push me to the edge
All my friends are dead
Push me to the edge
All my friends are dead
Push me to the edge
","XO TOUR Lif3","Lil Uzi vert"
"50","Call it how it is
Hendrix
I promise, I swear, I swear
You heard, spit it, yo

Percocets (ya), molly, Percocets (Percocets)
Percocets (ya), molly, Percocets (Percocets)
Rep the set (yee), gotta rep the set (gang, gang)
Chase a check (chase it), never chase a bitch (I don't chase no)
Mask on, fuck it, mask off (mask off)
Mask on (off), fuck it, mask off (mask off)
Percocets ('cets), molly, Percocets (Percocets)
Chase a check (chase it)
Never chase a bitch (I don't chase no)

Two cups (cup), toast up with the gang (gang, gang)
From food stamps to a whole 'nother domain, ya
Out the bottom (ye), I'm the livin' proof (super)
Ain't compromisin' (woah), half a million on the coupe (gang, gang)
Drug houses (where), lookin' like Peru (woah, woah, woah)
Graduated (crazy), I was overdue (I'm on due)
Pink molly (molly), I can barely move (barely move)
Ask about me ('bout me), I'm gon' bust a move
Rick James (James), thirty-three chains (thirty-three)
Ocean air (air), cruisin' Biscayne
Top off (ya), that's a liability (big foreigns)
Hit the gas (gas), boostin' my adrenaline (big foreigns)

Percocets (ye), molly, Percocets (big foreigns)
Percocets (ye), molly, Percocets (big foreigns)
Rep the set (ye), gotta rep the set (gang, gang)
Chase a check (chase it) (ye), never chase a bitch (big foreigns)
Mask on (off) (ye), fuck it, mask off (mask) (big foreigns)
Mask on (off) (ye), fuck it, mask off (mask) (big foreigns)
Percocets (ye), molly, Percocets (big foreigns)
Chase a check (chase it) (ye, ye)
Never chase a bitch (I don't chase no)

Four-door Maybach (four-door), I drive anything (ye)
Buy my range (ye), make 'em go insane (ye)
(Oh Lord, praise him be)
My guillotine, drank Promethazine (drank Prometh')
TEC and beams (ya), go to those extremes (let's go, let's go)
Parliament (parliament), calamari Wednesday (ya)
Parlay in Vegas, we was in attendance (let's go, let's go)
Before the business (yeah), Theodore lenses
Theo-dur prescriptions (ya), focus on the missions (fo' my)
Intermission (hol' up), never take a break (we can pull up)
Switch states, touch down, foreign plates (speech)
Ain't no way, ain't no fuckin' way (no)
We call the play, we didn't come to play (no)
Rob the bank, we gon' rob the game (gang)
They gang, we gang (gang)
But they are not the same (Freebandz)

Percocets (ye), molly, Percocets (big foreigns)
Percocets (ye), molly, Percocets (big foreigns)
Rep the set (ye), gotta rep the set (gang, gang)
Chase a check (chase it) (ye), never chase a bitch (big foreigns)
Mask on (off) (ye), fuck it, mask off (mask) (big foreigns)
Mask on (off) (ye), fuck it, mask off (mask) (big foreigns)
Percocets (ye), molly, Percocets (big foreigns)
Chase a check (chase it) (ye, ye)
Never chase a bitch (I don't chase no)

Mask on, fuck it, mask off
Mask on, fuck it, mask off
Mask on, fuck it, mask off
Gas gone, never nod off
(Cold chills, prison cells)
(Oh Lord, praise him be)
","Mask Off","Future"
"51","It's not good enough for me
Since I've been with you, ooh

It's not gonna work for you, nobody can equal me, no, no

I'm gonna sip on this drink, when I'm fucked up
I should know how to pick up
I'm gonna catch the rhythm
While she push up against me, ooh, and she tipsy

I had enough convo for 24
I peep'd you from across the room
Pretty little body dancin' like GoGo, hey

And you are unforgettable
I need to get you alone, ooh

Why not?

A fuckin' good time, never hurt nobody
I got a little drink but it's not Bacardi
If you loved the girl then I'm so, so sorry
I got to give it to her like we in a marriage

Oh-oh, like we in a hurry
No, no, I won't tell nobody
You're on your level too
Tryna do what lovers do

Feelin' like I'm fresh out, Boosie (Boosie)
If they want the drama, got the Uzi (Uzi)
Ship the whole crew to the cruise ship (cruise)
Doin' shit you don't even see in movies (movies)
Ride with me, ride with me, boss (boss)
I got a hard head but her ass soft (soft)
She want the last name with the ring on it
'Cause I pulled out a million cash, told her plank on it

And you are unforgettable
I need to get you alone
Now you wanna choose
Just pop the bubbly in the 'cuzi

It's not good enough for me
Since I've been with you, ooh

I'm gonna sip on this drink, when I'm fucked up
I should know how to pick up
I'm gonna catch the rhythm
While she push up against me, ooh, and she tipsy

I had enough convo for 24
I peep'd you from across the room
Pretty little body dancin' like GoGo, hey

And you are unforgettable
I need to get you alone, ooh
Why not?

A fuckin' good time, never hurt nobody
I got a little drink but it's not Bacardi
If you loved the girl then I'm so, so sorry
I got to give it to her like we in a marriage

Oh, like we in a hurry
No, no, I won't tell nobody
You're on your level too
Tryna do what lovers do

Oh-oh, you ain't enough for me
Too much for you alone
Baby, go and grab some bad bitches, bring 'em home
Know the jet's on me
I'ma curve my best for you, you know
So pick up that dress for me
Leave the rest on

Too much convo 24 hours
When you stand next to 24 karats
She left her man at home
She don't love him no more
I want your mind and your body
Don't mind nobody
So, you don't ever hurt nobody
Baby girl work your body
Work your body

And you are unforgettable
I need to get you alone
Now you wanna choose
Just pop the bubbly in the 'cuzi
Why not?

Oh, like we in a hurry
No, no, I won't tell nobody
You're on your level too
Tryna do what lovers do
","Unforgettable","French Montana feat Swae Lee"
"52","Southside on the track, yeah

Ha ha
Yeah

Take it out the bank, go put it up
Got my main hoe, put her up
Straight off the lot, go put it up
My last two foreigns pulled up
Straight out the bank, go put it up
Everybody in the hood gone pull up
I got 'em on Xans and the Roxy's
The homie done ran with a thottie
Every week I change my closet
Got a Fendi store in my house
Got a Bentley garage in my house
Got a watch on my wrist cost a house
My bitch can't sleep at my house
Make her sleep at a hotel now
And when you talk, man, you talking off cap
And your diamonds they looking like tap
I was always ducking from the paps
Keep an R&B bitch in my lap
Out in Beverly Hills, I adapt
But I still had to ride with that strap

Yellow diamonds like banana, that's cap
Put some dirty in Mello Yello, no cap
Rocking Maison Margiela's, that's cap
Red bitch, Cinderella, no cap
I can turn perro
I can turn Pedro
Bad bitch out the ghetto
Eating like middle
I'm 'bout to get better
Still trapping for Beretta's
Rolls Royce, I'm a gorilla
Getting dome at Coachella
Yeah, hop out the coupe and titty fuck her
Yeah, free Bobby Shmurda motherfuck the Rucker's
I'ma lean back in the back, she suck like lolli-suckers
I lied when I said I love her
Backstabbed the bitch, like I'm Michael Myers

My little brother keep a stick on the seat
He gone brrrt, brrrt, brrrt 'til your heart stop beating
I'm a Zone 6 nigga and I'm riding in a foreign
Fuck a bad yellow bitch anytime I get bored
Nigga, uh
I'm a giant on these streets, nigga, uh
Switch my bitch once a week, nigga, uh
1.5 in my Goyard, uh
Gone need a way bigger surf board, uh
I bust down my plain Yachtmaster with bezels
I flew her out to Vegas, swear to God, forgot to hit her
I made 'em quit they jobs, then I gave 'em to my niggas
I gave a little start-up money and put her in a rental
I send my Ethiopian to go pray at the temple
I flood her heart with diamonds, just to pray, it's so expensive
She tasting holy water, so, for me, it's beneficial
She caught the holy ghost when I gave her the presidential
","No Cap","Future & Young Thug"
"53","... wants to make contact with the spaceship
It's been 72 hours since the crash
A fiery ball come clashing from the sky
Reports still show no known survivors
Nobody knows what to do, we're all freaking out here
There were other lifeforms in the ship
There's aliens, I'm telling you there's aliens

You said, ""I come in peace"" so I took you home
I gave you food and I gave you clothes
I taught you how to move your feet when the rhythm's on
Still you wanna leave 'cause you feel alone

You don't know what they're like
If they know that you're alive
They're gonna try to take away the secrets of your planet's life
I know you must be upset, you lost your family in a wreck
But you gotta listen

Don't try to find your spaceship
It might be out there waiting
Stay in my backpack forever
Stay in my backpack forever
(You know I gotta find my spaceship)
(My planet's outside there waiting)
(I can't stay in your backpack forever, stay in your backpack)

Before you came around, I was in a rut
Didn't have a friend, didn't know what it was
You taught how to dream and how to love
You're my best friend, please listen to me

You don't know what they're like
If they know that you're alive
They're gonna try to take away the secrets of your planet's life
I know you must be upset, you lost your family in a wreck
But you gotta listen

Don't try to find your spaceship
It might be out there waiting
Stay in my backpack forever
Stay in my backpack forever
(You know I gotta find my spaceship)
(My planet's outside there waiting)
(I can't stay in your backpack forever, stay in your backpack)

Greetings, I fell from the sky
I'm from a different world, I use Lil Wayne as a disguise
And my flying saucer crashed, I'm the only one that survived
I've only taken over this planet since I arrived
I'm in a backpack, I'm ducking Men in Black
Yeah, I'm an alien, my swag is outta this world
Different galaxy, they try to capture me
When I die, they gonna name this planet after me
Wayne's world

Reports from witnesses flooded into the police station
Sounds like something out of a movie
First of all the object is lying here
There were other lifeforms in the ship
Nobody knows what to do, we're all freaking out here
We found this but no one can identify it
There's aliens, I'm telling you there's aliens

Don't try to find your spaceship
It might be out there waiting
Stay in my backpack forever
Stay in my backpack forever
(You know I gotta find my spaceship)
(My planet's outside there waiting)
(I can't stay in your backpack forever, stay in your backpack)

On our planet, we don't kill one another
We don't take love for granted
It's a gift from the mother
In your planet, you are filled with greed and false belief
We came here to bring you peace
","Backpack","Justin Bieber feat Lil Wayne"
"54","Make it clap
Ooh ya gotta backpack (clap)
Damn ya gotta backpack (make it clap)
Watch it when ya walk past (clap)
What ya gonna do with all that? (Clap)
Ooh you gotta backpack (make it clap, make it clap)
Damn I gotta backtrack (make it clap)
Watch it when ya walk past (make it clap)

That's just my style
Baby girl your backpack make me smile
It's been a while
Best one for miles (yeah, yeah, yeah)
Baby girl your back pack make me smile
Oh wow oh wow

How did you fit in all that?
All of that bag in that pack?
Come put that back in my lap
Baby make me happy

Make it clap
Ooh ya gotta backpack (clap)
Damn ya gotta backpack (make it clap)
Watch it when ya walk past (clap)
What ya gonna do with all that? (Clap)
Ooh you gotta backpack (make it clap, make it clap)
Damn I gotta backtrack (make it clap)
Watch it when ya walk past (make it clap)

Clap, make it clap
Make it clap, make it clap...
Make it clap, clap, clap, clap
Clap, clap, clap, clap
Make it clap, clap, clap, clap
Make it clap...

She got that Badonk-a, Donk-A, Donk-A, Donk-A, Donk
She got that junk in the trunk
That thing so big like an old school Chevy
Seven-Trey Donk and I wanna slam dunk it
Damn that thang chunky
I'm here to jack that ass 'cause she got that donkey
I wanna play monkey in the middle, you get the riddle
Freaky raunchy and I get funky

I'm here to hit a lick, what you think?
Roll a joint, pour the drink
Baby girl don't blink
I wanna hit that backpack from the back in the back of the 'Lac
Let's ride!
Whoo!

Her booty fat
Her waist skinny
She West Indie
She my little Trini
She like to wind it and wind it
While I jump behind it and grind it

How did you fit in all that?
All of that bag in that pack?
Come put that back in my lap
Baby make me happy

Make it clap
Ooh ya gotta backpack (clap)
Damn ya gotta backpack (make it clap)
Watch it when ya walk past (clap)
What ya gonna do with all that? (Clap)
Ooh you gotta backpack (make it clap)
Damn I gotta backtrack (clap)
Watch it when ya walk past (make it clap)

Clap, make it clap...
Make it clap, make it clap...
Make it clap, clap, clap, clap
Make it clap, clap, clap, clap
Make it clap, clap, make it clap, clap
Make it (what you gonna do with that?)

It's Mr. Worldwide
Take a shot, mami open wide
It's Mr. Worldwide
Take a shot, mami open wide
It's Mr. Worldwide
Take a shot, mami open wide
It's Mr. Worldwide
Take a shot, mami open wide now
","Backpack","Tag & Pitbull"
