"","lyrics","song","artist"
"11","They say, ""Oh my God, I see the way you shine
Take your hands, my dear, and place them both in mine""
You know you stopped me dead while I was passing by
And now I beg to see you dance just one more time

Ooh, I see you, see you, see you every time
And oh my, I, I, I like your style
You, you make me, make me, make me wanna cry
And now I beg to see you dance just one more time

So they say
""Dance for me, dance for me, dance for me, oh-oh-oh
I've never seen anybody do the things you do before""
They say
""Move for me, move for me, move for me, ayy-ayy-ayy
And when you're done, I'll make you do it all again""

I said, ""Oh my God, I see you walking by
Take my hands, my dear, and look me in my eyes""
Just like a monkey, I've been dancin' my whole life
But you just beg to see me dance just one more time

Ooh, I see you, see you, see you every time
And oh my, I, I, I like your style
You, you make me, make me, make me wanna cry
And now I beg to see you dance just one more time

So they say
""Dance for me, dance for me, dance for me, oh-oh-oh
I've never seen anybody do the things you do before""
They say
""Move for me, move for me, move for me, ayy-ayy-ayy
And when you're done, I'll make you do it all again""

They say
""Dance for me, dance for me, dance for me, oh-oh-oh, oh-oh, oh-oh
I've never seen anybody do the things you do before""
They say
""Move for me, move for me, move for me, ayy-ayy-ayy
And when you're done, I'll make you do it all again""

Ooh, ooh, ooh, ooh, ooh (do it all again, do it all again, do it all again)
Whoa-oh, whoa-oh, oh
Ooh, ooh, ooh, ooh, ooh-ooh (do it all again, do it all again, do it all again)
Whoa-ah, ah-ah!

They say
""Dance for me, dance for me, dance for me, oh-oh-oh
I've never seen anybody do the things you do before""
They say
""Move for me, move for me, move for me, ayy-ayy-ayy
And when you're done, I'll make you do it all again""

They say
""Dance for me, dance for me, dance for me, oh-oh-oh, oh-oh, oh-oh
I've never seen anybody do the things you do before""
They say
""Move for me, move for me, move for me, ayy-ayy-ayy
And when you're done, I'll make you do it all again""

All again
","Dance Monkey","Tones and I"
"12","Damn, Callan (Damn, Callan)

One bad bitch and she do what I say so (One, gang)
Two big .40s and a big ass Draco (Two, boom, boom)
Three more millions when you ask how my day go (Three)
Poured up a four, now that blueberry Faygo
One false move, and we straight to shooting shit
Two small bands just to take you out real quick (Bands)
Three more hoes, pull up, I'm fucking shit (Three more, gang)
That's how it goes, big bands, I'm thumbin' shit (That's how it goes)

Ayy, one bad bitch and she do what I say so (Yeah, gang)
Two big .40s and a big ass Draco (Two)
Three more millions when you ask how my day go
Poured up a four, now that blueberry Faygo
One false move, and we straight to shooting shit
Two small bands just to take you out real quick (Bands)
Three more hoes, pull up, I'm fucking shit (Three, yeah)
That's how it goes, big bands, I'm thumbin' shit (Gang)

I'm with my niggas, yeah, we some rockstars
And I'm with my nigga, yeah, KK Wokhardt (KK Wokhardt)
This not my dick, lil' bitch, my Glock hard (Lil' bitch)
Straight to the cash (Cash), I'm a trapstar
Straight to the bag (Bag), I'm that nigga, huh (Uh)
Got me some gas, rollin' up some
Pfft, pfft, cash, yeah, I got me some
I ain't fucked her yesterday (Yeah)
I'ma fuck some

One bad bitch and she do what I say so (One, gang)
Two big .40s and a big ass Draco (Two, boom, boom)
Three more millions when you ask how my day go (Three)
Poured up a four, now that blueberry Faygo
One false move, and we straight to shooting shit
Two small bands just to take you out real quick (Bands)
Three more hoes, pull up, I'm fucking shit (Three more, gang)
That's how it goes, big bands, I'm thumbin' shit (That's how it goes)

3-0, clip in my Nina (Ooh-ooh)
On my toes, Gucci, Valentina (Yeah, bitch)
She on go, your bitch fuck the team, uh (Lil' bitch)
'Cause you know your bitch want a winner (Winner)
I just went back to my city (To my city)
And you know they all fuckin' with me (Yeah, yes)
But it ain't safe, hoes with me (Hoes)
I'ma chase bands 'til they end me

One bad bitch and she do what I say so (One, gang)
Two big .40s and a big ass Draco (Two, boom, boom)
Three more millions when you ask how my day go (Three)
Poured up a four, now that blueberry Faygo
One false move, and we straight to shooting shit
Two small bands just to take you out real quick (Bands)
Three more hoes, pull up, I'm fucking shit (Three more, gang)
That's how it goes, big bands, I'm thumbin' shit (That's how it goes)

Ayy, one bad bitch, and she do what I say so (Yeah, gang)
Two big .40s and a big ass Draco (Two)
Three more millions when you ask how my day go
Poured up a four, now that blueberry Faygo
One false move, and we straight to shooting shit
Two small bands just to take you out real quick (Bands)
Three more hoes, pull up, I'm fucking shit (Three, yeah)
That's how it goes, big bands, I'm thumbin' shit (Gang)
","Blueberry Faygo","Lil Mosey"
"13","La-la-la-la, la-la-la-la

Call me what you wanna, I'll be what you wanna
I've been here a thousand times, eh-eh
Falling for another, I don't even bother
I could do it all my life

So tell me if you wanna 'cause I got this feeling
I wanna hear you say it, 'cause I can't believe it
With every touch of you, it's like I've started dreaming
Guess Heaven's not that far away

And I'll be singing, la-la-la-la, la-la-la-la
You're breaking me, la-la-la-la, la-la-la-la
You're breaking me, la-la-la-la, la-la-la-la
You're breaking me, la-la-la-la, la-la-la-la

I'm just right here dancing around to the rhythm
The rhythm that you play when you're breaking my heart
You know that I can't get you out of my system
Yeah, right from the start, you played with my heart

And I'll be singing, la-la-la-la, la-la-la-la
You're breaking me, la-la-la-la, la-la-la-la
You're breaking me, la-la-la-la, la-la-la-la
You're breaking me, la-la-la-la, la-la-la-la
You're breaking me

You can do whatever, I'll be here forever
Spinning 'round inside this room, eh-eh
Won't you come on over? I'm a sucker for ya
Wishing we'll be out here soon

So tell me if you wanna 'cause I got this feeling
I wanna hear you say it, 'cause I can't believe it
With every touch of you, it's like I've started dreaming
Guess Heaven's not that far away

And I'll be singing, la-la-la-la, la-la-la-la
You're breaking me, la-la-la-la, la-la-la-la
You're breaking me, la-la-la-la, la-la-la-la
You're breaking me, la-la-la-la, la-la-la-la

I'm just right here dancing around to the rhythm
The rhythm that you play when you're breaking my heart
You know that I can't get you out of my system
Yeah, right from the start, you played with my heart

And I'll be singing, la-la-la-la, la-la-la-la
You're breaking me, la-la-la-la, la-la-la-la
You're breaking me, la-la-la-la, la-la-la-la
You're breaking me, la-la-la-la, la-la-la-la
You're breaking me
","Breaking Me","Topic , A7S"
"14","If you wanna run away with me, I know a galaxy
And I can take you for a ride
I had a premonition that we fell into a rhythm
Where the music don't stop for life
Glitter in the sky, glitter in my eyes
Shining just the way I like
If you're feeling like you need a little bit of company
You met me at the perfect time

You want me, I want you, baby
My sugarboo, I'm levitating
The Milky Way, we're renegading
Yeah, yeah, yeah, yeah, yeah

I got you, moonlight, you're my starlight
I need you all night, come on, dance with me
I'm levitating
You, moonlight, you're my starlight (you're the moonlight)
I need you all night, come on, dance with me
I'm levitating

I believe that you're for me, I feel it in our energy
I see us written in the stars
We can go wherever, so let's do it now or never, baby
Nothing's ever, ever too far
Glitter in the sky, glitter in our eyes
Shining just the way we are
I feel like we're forever, every time we get together
But whatever, let's get lost on Mars

You want me, I want you, baby
My sugarboo, I'm levitating
The Milky Way, we're renegading
Yeah, yeah, yeah, yeah, yeah

I got you, moonlight, you're my starlight
I need you all night, come on, dance with me
I'm levitating
You, moonlight, you're my starlight (you're the moonlight)
I need you all night, come on, dance with me
I'm levitating (whoo)

You can fly away with me tonight
You can fly away with me tonight
Baby, let me take you for a ride
Yeah, yeah, yeah, yeah, yeah
I'm levitating (whoo)

You can fly away with me tonight
You can fly away with me tonight
Baby, let me take you for a ride
Yeah, yeah, yeah, yeah, yeah (whoo)

My love is like a rocket, watch it blast off
And I'm feeling so electric, dance my arse off
And even if I wanted to, I can't stop
Yeah, yeah, yeah, yeah, yeah

My love is like a rocket, watch it blast off
And I'm feeling so electric, dance my arse off
And even if I wanted to, I can't stop
Yeah, yeah, yeah, yeah, yeah

You want me, I want you, baby
My sugarboo, I'm levitating
The Milky Way, we're renegading

I got you (yeah), moonlight, you're my starlight
I need you all night (all night), come on, dance with me
I'm levitating (whoo)

You can fly away with me tonight (tonight)
You can fly away with me tonight
Baby, let me take you for a ride
Yeah, yeah, yeah, yeah, yeah (take you for a ride)
I'm levitating (whoo)

You can fly away with me tonight (tonight)
You can fly away with me tonight
Baby, let me take you for a ride
Yeah, yeah, yeah, yeah, yeah (let me take you for a ride)

I got you, moonlight, you're my starlight (you are my starlight)
I need you all night, come on, dance with me (come on, dance with me, baby)
I'm levitating
You, moonlight, you're my starlight (you're the moonlight)
I need you all night, come on, dance with me
I'm levitating
","Levitating","Dua Lipa"
"15","Ooh (ooh)
Nah-nah, yeah

I saw you dancing in a crowded room (uh)
You look so happy when I'm not with you
But then you saw me, caught you by surprise
A single teardrop falling from your eye

I don't know why I run away (oh, oh, oh, oh, oh)
I'll make you cry when I run away (oh, oh, oh, oh, oh)

Take me back 'cause I wanna stay
Save your tears for another

Save your tears for another day (oh, oh, oh, oh, oh)
Save your tears for another day (mm)

Met you once under a Pisces moon
I kept my distance 'cause I know that you
Don't like when I'm with nobody else
I couldn't help it, I put you through hell

I don't know why I run away (run away, oh, oh, oh, oh)
Oh, boy, I'll make you cry when I run away (away, oh, oh, oh, oh)

Boy, take me back 'cause I wanna stay
Save your tears for another
I realize that it's much too late
And you deserve someone better

Save your tears for another day (oh, oh, oh, oh, oh)
Save your tears for another day (oh, oh, oh, oh, oh)

I don't know why I run away (bum, bum, bum, bum, bum)
I'll make you cry when I run away (save)

Save your tears for another day (ooh)
Ooh, girl (oh, oh, oh, oh, oh, okay)
I said save your tears for another day (oh, oh, oh, oh, oh)

Save your tears for another day (oh, oh, oh, oh, oh)
Save your tears for another day (oh, oh, oh, oh, oh)
Save your tears for another day
","Save Your Tears","The Weeknd & Selena Gomez "
"16","We hug and, yes, we make love
And always just say, ""Goodnight"" (la-la-la, la-la-la)
And we cuddle, sure, I do love it
But I need your lips on mine

(Can you kiss me more?)
We're so young, boy, we ain't got nothing to lose, uh-oh
(It's just principle)
Baby, hold me 'cause I like the way you groove, uh-oh

Boy, you write your name, I can do the same
Oh, I love the taste, la-la-la, la-la
All on my tongue, I want it (la-la-la, la-la)
Boy, you write your name, I can do the same
Oh, I love the taste, la-la-la, la-la
All on my tongue, I want it (la-la-la, la-la)

I, I feel like fucking something
But we can be corny, fuck it
Sugar, I ain't no dummy-dummy
I like to say, ""What if?""
But if we could kiss and just cut the rubbish
Then I might be on to something
I ain't giving you one in public
I'm giving you hundreds, fuck it

Something we just gotta get into
Sign first, middle, last, on the wisdom tooth
Niggas wishing that the pussy was a kissing booth
Taste breakfast, lunch, and gin, and juice
And that dinner just like dessert too
And when we French, refresh, gimme two
When I bite that lip, come get me too
He want lipstick, lip-gloss, hickeys too, huh

(Can you kiss me more?)
We're so young, boy, we ain't got nothing to lose, uh-oh
(It's just principle)
Baby, hold me 'cause I like the way you groove, uh-oh

Boy, you write your name, I can do the same
Oh, I love the taste, la-la-la, la-la
All on my tongue, I want it (la-la-la, la-la)
Boy, you write your name, I can do the same
Oh, I love the taste, la-la-la, la-la
All on my tongue, I want it

Say, give me a buck, need that gushy stuff
Push your limit, no, you ain't good enough
All your niggas say that you lost without me
All my bitches feel like I dodged the county
Fucking with you feel like jail, nigga
I can't even exhale, nigga
Pussy like holy grail, you know that
You gon' make me need bail, you know that
Caught dipping with your friend
You ain't even half man, lying on your-, you know that
Got me a bag full of brick, you know that
Control, don't slow the pace if I throw back
All this ass for real (all this ass)
Drama make you feel (make you feel)
Fantasy and whip appeal is all I can give you

(Can you kiss me more?)
We're so young, boy, we ain't got nothing to lose, uh-oh
(It's just principle)
Baby, hold me 'cause I like the way you groove, uh-oh
Oh, darling

Boy, you write your name, I can do the same
Ooh, I love the taste, oh-la-la-la-la-la
All on my tongue, I want it
Boy, you write your name, I can do the same
Ooh, I love the taste, oh-la-la-la-la-la
All on my tongue, I want it
","Kiss me More","Doja Cat feat Sza "
"17","(Ah)

Well, good for you, I guess you moved on really easily
You found a new girl, and it only took a couple weeks
Remember when you said that you wanted to give me the world? (World?)
And good for you, I guess that you've been working on yourself
I guess that therapist I found for you, she really helped
Now you can be a better man for your brand-new girl (girl)

Well, good for you, you look happy and healthy
Not me, if you ever cared to ask
Good for you, you're doing great out there without me, baby
God, I wish that I could do that
I've lost my mind, I've spent the night crying on the floor of my bathroom
But you're so unaffected, I really don't get it
But I guess good for you

Well, good for you, I guess you're getting everything you want (ah)
You bought a new car and your career's really taking off (ah)
It's like we never even happened
Baby, what the fuck is up with that? (Ha)
And good for you, it's like you never even met me
Remember when you swore to God I was the only person who ever got you?
Well, screw that and screw you
You will never have to hurt the way you know that I do

Well, good for you, you look happy and healthy
Not me, if you ever cared to ask
Good for you, you're doing great out there without me, baby
God, I wish that I could do that
I've lost my mind, I've spent the night crying on the floor of my bathroom
But you're so unaffected, I really don't get it
But I guess good for you

Ah-ah-ah-ah
Ah-ah-ah-ah

Maybe I'm too emotional
But your apathy is like a wound in salt
Maybe I'm too emotional
Or maybe you never cared at all
Maybe I'm too emotional
Your apathy is like a wound in salt
Maybe I'm too emotional
Or maybe you never cared at all

Well, good for you, you look happy and healthy
Not me, if you ever cared to ask
Good for you, you're doing great out there without me, baby
Like a damn sociopath!
I've lost my mind, I've spent the night crying on the floor of my bathroom
But you're so unaffected, I really don't get it
But I guess good for you

Well, good for you, I guess you moved on really easily
","Good 4 You","Olivia Rodrigo"
"18","I caught it bad yesterday
You hit me with a call to your place
Ain't been out in a while anyway
Was hoping I could catch you throwing smiles in my face

Romantic talking? You don't even have to try
You're cute enough to fuck with me tonight
Looking at the table all I see is weed and white
Baby, you living the life, but nigga, you ain't livin' right

Cocaine and drinking with your friends
You live in the dark, boy, I cannot pretend
I'm not fazed, only here to sin
If Eve ain't in your garden, you know that you can

Call me when you want, call me when you need
Call me in the morning, I'll be on the way
Call me when you want, call me when you need
Call me out by your name, I'll be on the way like

Mmm, mmm, mmm, mmm
Mmm, mmm, mmm, mmm

Ayy, ayy
I wanna sell what you're buying
I wanna feel on your ass in Hawaii
I want that jet lag from fucking and flying
Shoot a child in your mouth while I'm riding

Oh, oh, oh, why me?
A sign of the times every time that I speak
A dime and a nine, it was mine every week
What a time, an incline, God was shining on me

Now I can't leave
And now I'm acting hella elite
Never want the niggas that's in my league
I wanna fuck the ones I envy, I envy

Cocaine and drinking with your friends
You live in the dark, boy, I cannot pretend
I'm not fazed, only here to sin
If Eve ain't in your garden, you know that you can

Call me when you want, call me when you need
Call me in the morning, I'll be on the way
Call me when you want, call me when you need
Call me out by your name, I'll be on the way like

Oh, call me by your name (mmm, mmm, mmm)
Tell me you love me in private
Call me by your name (mmm, mmm, mmm)
I do not care if you lying

Well, I'm just feeling, mm-uh
I wanna get, mm-uh
I'm in my, into my, uh
I'm mm, mm
I'm still, mm, mm-mm, ooh
","MONTERO (Call Me By Your Name)","Lil Nas X"
"19","Said baby, said baby, said baby

What you doing? (What you doing?)
Where you at? (Where you at?)
Oh, you got plans? (You got plans?)
Don't say that (shut your trap)
I'm sipping wine (sip, sip) in a robe (drip, drip)
I look too good (look too good) to be alone (woo-woo)
My house clean (house clean), my pool warm (pool warm)
Just shaved (smooth like a newborn)
We should be dancing, romancing
In the east wing and the west wing
Of this mansion, what's happening?

I ain't playing no games
Every word that I say is coming straight from the heart
So if you tryna lay in these arms

I'ma leave the door open
(I'ma leave the door open)
I'ma leave the door open, girl
(I'ma leave the door open, hoping)
That you feel the way I feel
And you want me like I want you tonight, baby
(Tell me that you're coming through)

Ooh, you're so sweet (so sweet), so tight (so tight)
I won't bite (ah-ah), unless you like (unless you like)
If you smoke (what you smoke?) I got the haze (Purple Haze)
And if you're hungry, girl, I got fillets (woo-woo)
Ooh, baby, don't keep me (waiting)
There's so much love we could be making (shamone)
I'm talking kissing, cuddling
Rose petals in the bathtub
Girl, let's jump in, it's bubbling

I ain't playing no games
Every word that I say is coming straight from the heart
So (if you) if you (tryna) tryna lay in these arms

I'ma leave the door open
(I'ma leave the door open)
I'ma leave the door open, girl
(I'ma leave the door open, hoping)
That you feel the way I feel
And you want me like I want you tonight, baby
(Tell me that you're coming through) come on, girl

La-la-la, la-la-la-la (I need you, baby)
La-la-la, la-la-la-la (I gotta see you, baby)
La-la-la, la-la-la-la (girl, I'm tryna give you this)
Ah-ah-ah-ah, ah-ah

Hey-hey, I'ma leave my door open, baby (I'ma leave the door open)
I'ma leave, I'ma leave my door open, girl
(I'ma leave the door open, hoping) and I'm hoping, hoping
That you feel the way I feel
And you want me like I want you tonight, baby
(Tell me that you're coming through) woo!
La-la-la, la-la-la-la (tell me)
(Tell me that you're coming through)

Woo-woo-woo-woo, woo-woo-woo, woo-woo-woo
Woo-woo-woo-woo, woo-woo-woo, woo-woo
La-la-la, la-la-la-la (la-la-la, la-la)
(Tell me that you're coming through)
Girl, I'm here just waiting for you (oh!)
Come on over, I'll adore you (I gotta know!)
La-la-la, la-la-la-la (I'm waiting, waiting, waiting)
(Tell me that you're coming through) for you
Girl, I'm here just waiting for you
Come on over, I'll adore you
La-la-la, la-la-la-la (la-la, la-la)
","Leave the Door Open","Silk Sonic, Bruno Mars & Anderson .Paak"
"20","(Oh-oh-oh)
(Yeah, yeah, yeah, yeah, yeah)

Why you always in a mood?
Fuckin' 'round, actin' brand new
I ain't tryna tell you what to do
But try to play it cool
Baby, I ain't playing by your rules
Everything look better with a view

Why you always in a mood?
Fuckin' 'round, actin' brand new
I ain't tryna tell you what to do
But try to play it cool
Baby, I ain't playing by your rules
Everything look better with a view, yeah

I could never get attached
When I start to feel, I unattach
Somehow always end up feeling bad
Baby, I am not your dad
It's not all you want from me
I just want your company

Girl, it's obvious, elephant in the room
And we're a part of it, don't act so confused
And you love startin' it, now I'm in a mood
Now we arguin' in my bedroom

We play games of love to avoid the depression
We been here before, and I won't be your victim

Why you always in a mood?
Fuckin' 'round, actin' brand new
I ain't tryna tell you what to do
But try to play it cool
Baby, I ain't playing by your rules
Everything look better with a view

Why you always in a mood?
Fuckin' 'round, actin' brand new
I ain't tryna tell you what to do
But try to play it cool
Baby, I ain't playing by your rules
Everything look better with a view

So why you tryin' to fake your love on the regular?
When you could be blowin' up just like my cellular
I won't ever let a shorty go and set me up
Only thing I need to know is if you wet enough

I'm talking slick back, kick back, gang sippin' Fourties
You keep playin', not another day with you shorty
Mismatch, bitch, that was way before you know me
Got a lot of love, well you better save it for me

We play games of love to avoid the depression
We been here before, and I won't be your victim

Why you always in a mood?
Fuckin' 'round, actin' brand new
I ain't tryna tell you what to do
But try to play it cool
Baby, I ain't playing by your rules
Everything look better with a view

Why you always in a mood?
Fuckin' 'round, actin' brand new
I ain't tryna tell you what to do
But try to play it cool
Baby, I ain't playing by your rules
Everything look better with a view, yeah
","Mood","24kGoldn feat iann dior"
"21","Silk Sonic, Bruno Mars & Anderson .Paak","Peaches","Justin Bieber (feat. Daniel Caesar & GIVĒON)"
"22","One, two, three, four
Ooh-ooh, ooh-ooh-ooh

Every time you come around, you know I can't say no
Every time the sun goes down, I let you take control
I can feel the paradise before my world implodes
And tonight had something wonderful

My bad habits lead to late nights endin' alone
Conversations with a stranger I barely know
Swearin' this will be the last, but it probably won't
I got nothin' left to lose, or use, or do

My bad habits lead to wide eyes stare into space
And I know I'll lose control of the things that I say
Yeah, I was lookin' for a way out, now I can't escape
Nothin' happens after two, it's true
It's true, my bad habits lead to you

Ooh-ooh, ooh-ooh-ooh
My bad habits lead to you
Ooh-ooh, ooh-ooh-ooh
My bad habits lead to you

Every pure intention ends when the good times start

Fallin' over everything to reach the first time's spark
It started under neon lights, and then it all got dark

I only know how to go too far

My bad habits lead to late nights endin' alone
Conversations with a stranger I barely know
Swearin' this will be the last, but it probably won't
I got nothin' left to lose, or use, or do

My bad habits lead to wide eyes stare into space
And I know I'll lose control of the things that I say
Yeah, I was lookin' for a way out, now I can't escape
Nothin' happens after two, it's true
It's true, my bad habits lead to you

Ooh-ooh, ooh-ooh-ooh
My bad habits lead to you
Ooh-ooh, ooh-ooh-ooh

We took the long way 'round
And burned 'til the fun ran out, now

My bad habits lead to late nights endin' alone
Conversations with a stranger I barely know
Swearin' this will be the last, but it probably won't
I got nothin' left to lose, or use, or do

My bad habits lead to wide eyes stare into space
And I know I'll lose control of the things that I say
Yeah, I was lookin' for a way out, now I can't escape
Nothin' happens after two, it's true
It's true, my bad habits lead to you

Ooh-ooh, ooh-ooh-ooh
My bad habits lead to you
Ooh-ooh, ooh-ooh-ooh
My bad habits lead to you
","Bad Habit","Ed Sheeran"
"23","I do the same thing, I told you that I never would
I told you I changed, even when I knew I never could
I know that I can't find nobody else as good as you
I need you to stay, need you to stay, hey

I get drunk, wake up, I'm wasted still
I realize the time that I wasted here
I feel like you can't feel the way I feel
I'll be fucked up if you can't be right here

Oh-whoa (oh-whoa, whoa)
Oh-whoa (oh-whoa, whoa)
Oh-whoa (oh-whoa, whoa)
I'll be fucked up if you can't be right here

I do the same thing, I told you that I never would
I told you I changed, even when I knew I never could
I know that I can't find nobody else as good as you
I need you to stay, need you to stay, hey
I do the same thing, I told you that I never would
I told you I changed, even when I knew I never could
I know that I can't find nobody else as good as you
I need you to stay, need you to stay, yeah

When I'm away from you, I miss your touch (ooh-ooh)
You're the reason I believe in love
It's been difficult for me to trust (ooh-ooh)
And I'm afraid that I'ma fuck it up
Ain't no way that I can leave you stranded
'Cause you ain't never left me empty-handed
And you know that I know that I can't live without you
So, baby, stay

Oh-whoa (oh-whoa, whoa)
Oh-whoa (oh-whoa, whoa)
Oh-whoa (oh-whoa, whoa)
I'll be fucked up if you can't be right here

I do the same thing, I told you that I never would
I told you I changed, even when I knew I never could
I know that I can't find nobody else as good as you
I need you to stay, need you to stay, yeah

I do the same thing, I told you that I never would
I told you I changed, even when I knew I never could
I know that I can't find nobody else as good as you
I need you to stay, need you to stay, hey

Whoa-oh
I need you to stay, need you to stay, hey
","Stay","The Kid LAROI & Justin Bieber"
"24","Car rides to Malibu
Strawberry ice cream, one spoon for two
And trading jackets
Laughing 'bout how small it looks on you
(Ha-ha-ha-ha, ha-ha-ha-ha-ha, ha-ha-ha-ha)
Watching reruns of Glee
Being annoying, singing in harmony
I bet she's braggin' to all her friends, saying you're so unique, hm

So when you gonna tell her that we did that, too?
She thinks it's special, but it's all reused
That was our place, I found it first
I made the jokes you tell to her when she's with you

Do you get déjà vu when she's with you?
Do you get déjà vu? (Ah) hmm
Do you get déjà vu? Huh

Do you call her, almost say my name?
'Cause let's be honest, we kinda do sound the same
Another actress
I hate to think that I was just your type

I bet that she knows Billy Joel
'Cause you played her ""Uptown Girl""
You're singing it together
Now I bet you even tell her how you love her
In between the chorus and the verse (ooh)

So when you gonna tell her that we did that, too?
She thinks it's special, but it's all reused
That was the show we talked about
Played you the songs she's singing now when she's with you

Do you get déjà vu when she's with you?
Do you get déjà vu? (Oh-oh)
Do you get déjà vu?

Strawberry ice cream in Malibu
Don't act like we didn't do that shit, too
You're trading jackets like we used to do
(Yeah, everything is all reused)
Play her piano, but she doesn't know (oh, oh)
That I was the one who taught you Billy Joel (oh)
A different girl now, but there's nothing new

I know you get déjà vu

I know you get déjà vu

I know you get déjà vu
","Deja Vu","Olivia Rodrigo"
"25","Smooth like butter, like a criminal undercover
Gon' pop like trouble breaking into your heart like that, ooh
Cool shade, stunner, yeah, I owe it all to my mother, uh
Hot like summer, yeah, I'm making you sweat like that (break it down!)

Ooh, when I look in the mirror
I'll melt your heart into two
I got that superstar glow, so
Ooh (do the boogie, like)

A side step, right-left, to my beat
High like the moon, rock with me, baby
Know that I got that heat
Let me show you 'cause talk is cheap
Side step, right-left, to my beat
Get it, let it roll

Smooth like butter, pull you in like no other
Don't need no Usher to remind me you got it bad
Ain't no other that can sweep you up like a robber
Straight up, I (got ya)
Making you fall like that (break it down)

Ooh, when I look in the mirror
I'll melt your heart into two
I got that superstar glow, so
Ooh (do the boogie, like)

Side step, right-left, to my beat
High like the moon, rock with me, baby
Know that I got that heat
Let me show you 'cause talk is cheap
A side step, right-left, to my beat
Get it, let it roll

Get it, let it roll

Get it, let it roll

Ice on my wrist, I'm the nice guy
Got the right body and the right mind
Rolling up the party, got the right vibe
Smooth like (butter), hate us (love us)
Fresh boy, pull up and we lay low
All the players get moving when the bass low
Got ARMY right behind us when we say so
Let's go

Side step, right-left, to my beat (right-left, to my beat)
High like the moon, rock with me, baby
You know that I got that heat
Let me show you 'cause talk is cheap (you know that talk is cheap)
Side step, right-left, to my beat
Get it, let it roll

Smooth like (butter), cool shade (stunner)
And you know we don't stop
Hot like (summer), ain't no (bummer)
You'll be like, ""Oh my God""
We gon' make you rock, and you say (yeah)
We gon' make you bounce, and you say (yeah)
Hotter, sweeter, cooler, butter!

Get it, let it roll
","Butter","BTS"
"26","Oh, yeah
(Oh, is that Kaniel again?)
Oh

(Ayy, bring it, bring it back, bring it back, bring it back)
Oh, yeah

Laid up, got me thinkin', babe
Tell me if you with it 'cause I'm with it, babe
I haven't heard from you in a minute, babe
Just tell me what to do when I get it, babe
Gucci and Prada

Trips to your crib in the middle of the night
I know that you miss me 'cause I put it down right
Damn, babe, I can put you on a flight
You know that a nigga like me can change your life

Oh, baby
Everything you do is amazing
Ain't nobody watchin', go crazy
I got what you need
Everybody think you shy, but I know you a freak, lil' baby (oh)
Everything you do is amazing (yeah)
Ain't nobody watchin', go crazy (yeah)
I got what you need (yeah)
Everybody think you shy, but I know you a freak, lil' baby (yeah)

I been overseas goin' crazy (yeah)
I can tell you love it when we made up (ayy)
Black and gray diamonds like a Raider (Raider)
Orange peel, your love is real (yeah)
Lovin' skills, I need some lovin' skills (yeah)
Left my dirty drawers and you love me still (yeah)
Eyes come lazy, but she is real (yeah)

Dressed to kill (yeah, yeah, yeah)
We can bum-bum 'til you're tired (oh)
I can put a stone by your eye (oh)
I can see you never switchin' sides
You never tell me lies
Not rushin' tie-ties, yeah

Trips to your crib in the middle of the night
I know that you miss me 'cause I put it down right
Damn, babe, I can put you on a flight
You know that a nigga like me can change your life

Oh, baby
Everything you do is amazing
Ain't nobody watchin', go crazy (I got what you need)
I got what you need
Everybody think you shy, but I know you a freak, lil' baby

Yeah, get me lit
Hoes on my phone when they find out that I'm rich
Then they switch when they see I'm choosin' on my bitch
Top down, got her doin' donuts on the dick, yeah
Pose for the flick
Damn it, bust it, baby, watch you do it on a split
She don't need no hands or no pants, do your dance
Poppin' rubber bands, did the dash, make it fast (oh)
(Ayy, bring it, bring it back, bring it back, bring it back)

Yeah, waitin' by me phone just to dick you down, down
Let me put it down, down
Now put it down, down
Watch me put it down, down (bring it back, bring it back, bring it back)
Put it down, down

Trips to your crib in the middle of the night
I know that you miss me 'cause I put it down right
Damn, babe, I can put you on a flight
You know that a nigga like me can change your life

Oh, baby
Everything you do is amazing
Ain't nobody watchin', go crazy
I got what you need
Everybody think you shy, but I know you a freak, lil' baby (oh)
Everything you do is amazing (yeah)
Ain't nobody watchin', go crazy
I got what you need
Everybody think you shy, but I know you a freak, lil' baby
","Go Crazy","Chris Brown & Young Thug"
