"lyrics","song","artist"
"Konvict
Akon and Young Jeezy
Tryin' to take it easy
Only way to go
And so (Ay, let's get it)

But if you lookin' for me I'll be on the block
With my thang cocked, possibly sittin' on a drop now
Because I'm a rider (Yeah)
Oh, yes, a soul survivor (Yeah)
'Cause everybody know the game don't stop
Tryin' to make it to the top 'fore your ass get popped now
If you a rider (Yeah)
Oh, yes, a soul survivor

Tonight I can't sleep we livin' in hell (Yeah)
First they give us the work then they throw us in jail
Road-trip ya, I'm traffickin' the white
Please Lord, don't let me go to jail tonight (Yeah)
Who me? I'm a soul survivor
Ask about 'em in the street, the boy Jeez a rida (Jeez a rida)
A hundred grand on my wrist, yeah, life sucks
Fuck the club, dawg, I rather count a million bucks (Ay)

If you lookin' for me I'll be on the block
With my thang cocked, possibly sittin' on a drop now
Because I'm a rider (Yeah)
Oh, yes, a soul survivor (Yeah)
'Cause everybody know the game don't stop
Tryin' to make it to the top 'fore your ass get popped now
If you a rider (Yeah)
Oh, yes, a soul survivor

Another day, another dollar (Dollar)
Same block, same nigga, same part, same green
I guess we got the same dreams (Ayy)
Or is it the same nightmares? (Nightmares)
We let the doves do it for us, we don't cry tears (That's right)
Real niggas don't budge
When Mel Man got his time he shot birds at the judge (Yeah)

I'm knee-deep in the game
So when it's time to re-up, I'm knee deep in the 'caine (Damn)
Real talk, look, I'm tellin' you mayne (Tellin' you mayne)
If you get jammed up don't mention my name
Forgive me Lord, I know I ain't livin' right
Gotta feed the block, niggas starvin', they got appetites (Ayy)
And this is e'ryday, it never gets old (Old)
Thought I was a juvenile I stuck to the G-Code (Yeah)
This ain't a rap song, nigga this is my life (This is my life)
And if the hood was a battlefield then I'd earn stripes (Yeah)

If you lookin' for me I'll be on the block
With my thang cocked, possibly sittin' on a drop now
Because I'm a rider (Yeah)
Oh, yes, a soul survivor (Yeah)
'Cause everybody know the game don't stop
Tryin' to make it to the top 'fore your ass get popped now
If you a rider (Yeah)
Oh, yes, a soul survivor

Gotta watch ya e'ry move, 'cause them eyes be on you (Eyes be on you)
Gotta drive real cool when them Pies be on you (Pies be on you)
Just 'cause we stack paper and we ball outrageous (Ball outrageous)
Them alphabet boys got us under surveillance (ayy)
Like animals, they lock us in cages
The same nigga that's a star when you put him on stages

I ain't cheat played the hand I was dealt
Tried to tax the grand pearl when I got it myself (Let's get It)
No nuts, no glory (No glory)
My biography, you damn right, the true story (Yeah)
Set the city on fire, and I didn't even try (Try)
Run these streets all day, I can sleep when I die (Ayy)

'Cause if you lookin' for me you can find me
On the block disobeyin' the law
Real G, thoroughbred from the streets
Pants saggin' with my gun in my drawers
Just to keep on moving now
Just to keep on moving now
Just to keep on moving now
Just to keep on moving now (Yeah)

But if you lookin' for me I'll be on the block
With my thang cocked, possibly sittin' on a drop now
Because I'm a rider (Yeah)
Oh, yes, a soul survivor (Yeah)
'Cause everybody know the game don't stop
Tryin' to make it to the top 'fore your ass get popped now
If you a rider (Yeah)
Oh, yes, a soul survivor

If you lookin' for me I'll be on the block
With my thang cocked, possibly sittin' on a drop now
Because I'm a rider (Yeah)
Oh, yes, a soul survivor (Yeah)
'Cause everybody know the game don't stop
Tryin' to make it to the top 'fore your ass get popped now
If you a rider (Yeah)
Oh, yes, a soul survivor
","Soul Survivor (feat. Akon)","Young Jeezy"
"Oh yeah

The fancy cars, the women and the caviar
You know who we are
'Cause we're pimpin' all over the world
The fancy cars, the women and the caviar
You know who we are
'Cause we're pimpin' all over the world

Sing it hoes
(The world, the world, the world)

All over the world baby
It's only right that I share my experiences with ya'll
'Cause I been places you'd never imagine
But I'm gonna start at home when I see a girl I like
I walk straight up to her and I'm like
(Hey)

""Unh, hey girl how ya doin?
You are the woman that I'm really pursuin'
And I would like to get to know you
Can you give me your name?
And if you jot down your number you'll get mine in exchange""
(Hey)

""See I'm the man in this town
And I hope you wouldn't mind if I showed you around
So when you go to certain places you'll be thinkin' of me
We got people to meet and many places to see""
(Hey)

""Mmm, I'm really diggin' your lips
But be careful where you walkin' when you swingin' them hips
I'm kinda concerned you'll be causin' a crash""
With your traffic jam booty heads pausin' so fast""
(Hey)

I wouldn't trade you for the world I swear it
I like your hair in every style that you wear it
And how the colors coordinate with your clothes
From your manicured nails to your pedicured toes""
(Hey)
(Whoo, oh yeah)

The fancy cars, the women and the caviar
You know who we are
'Cause we're pimpin' all over the world
The fancy cars, the women and the caviar
You know who we are
'Cause we're pimpin' all over the world

You hear the song, so dance
Don't always think I'm tryin' to get in your pants
'Cause see me, my pimpin's in 3D
I'm takin' you places you only see on TV
(Hey)

Tryin' to show you how you livin' is trite
How many guys you know can
Bring the Travel Channel to life?
One day we on the autobahn swervin', drivin'
Next day we in the sun on the Virgin Islands
(Hey)

If you wit me ain't no time to sleep
'Specially at Wet Willy's on Miami beach but
I'll drop you off and pay you no attention
If I make to Atlanta's Bronner Brothers convention
(Hey)

Then, jump in the car and just ride for hours
Makin' sure I don't miss the homecoming at Howard's
Hawaii to D.C., there's plenty women to see
So if your ass don't show up it's more women for me
Hey
(Oh yeah)

The fancy cars, the women and the caviar
You know who we are
'Cause we're pimpin' all over the world
The fancy cars, the women and the caviar
You know who we are
'Cause we're pimpin' all over the world

I'm in New York at the Puerto Rican day parade
Then at night I'm in New Orleans drinkin' hand grenades
Outnumbered by the dozens at the Jazzfest
Then Mardi Gras, all the women
Tryin' to show me their chest
Hey

I'm in Jamaica spendin' massive bucks
While the ladies all beggin' me to mash it up
I had sad beginnings when I rapped with no fans
Now it's all happy endings on my lap in Japan
(Hey)

I used to think that it was way too cold
'Til I went to Canada and saw some beautiful hoes
Now I hit the Caribana every year in Toronto
Then fly to Illinois and get a taste of Chicago
(Hey)

Unh, oh yet and still
You wouldn't believe your eyes if you went to Brazil
(But where the best at?)
Ain't no need in even askin' bro
The best women all reside in Africa and that's real
(Hey)
(Whoo, oh yeah)

The fancy cars, the women and the caviar
You know who we are
'Cause we're pimpin' all over the world
The fancy cars, the women and the caviar
You know who we are
'Cause we're pimpin' all over the world

Sing it hoes
(The world, the world, the world)
(Hey)

Pimpin', pimpin', pimpin'
Ladies and gentlemen, as we ride out
Could we have all the real pimps please
Put both your pinky fingers high in the air?

Now ladies, look around with me
Let's see if we can't
Weed some of these niggas out
'Cause it ain't no way that
All these niggas could be pimpin'

Now if happen to see a nigga
With two sweat patches up under his arm
Look like he been swimmin' in shoulder height water
Please, tell that nigga, ""Put yo hands down""

If you smell like you been at work all day
And Drakkar, please put your hands down
Now look up at the pinky fingers
That are still in the air

If you see 'em ashy around the knuckles
Like the nigga washed half his hands
And lotioned three quarters of his body
Please say, ""Put yo hands down""

If you're spinning rims spin counter clockwise
You are not pimpin'
If you are dancin' on the dance floor
And you look to your left, and your right
And there is not a woman in sight
Guess what? You guessed it, you are not pimpin'

If your vodka and cranberry is really, really dark
Like blood, that's because you didn't order vodka buddy
And that's why it's three dollars a glass
Oh, put your hands down

Now look down, look down now I need
I need everybody, just to pull up your pant's leg one time
Ok, you see the nigga with the white socks?
Not pimpin'!
Sorry, unless you're part of the Beat It entourage

If your shoes have a buckle on 'em
Not pimpin'
","Pimpin' All Over the World","Ludacris & Bobby V"
"Assistant Recording Engineer","My Boo","USHER & Alicia Keys"
"Uh huh, yeah, aw, man
I got a sweet tooth, can you dig it?
After this one you gon' need a root canal
I love sugar all of it

This one for all the nice clean
Decent women
Lay it on me, girl
Pay close attention

She put that sugar on my tongue
She's gonna gimme, gimme some
She put it right there on my tongue
(Sweet, sweet, lover, lover)
Right there on my tongue
(She turns me on, like no other)

And gimme some of your butter pecan
Put it right there on tip of my tongue, put it
Right yeah, 'cause, baby, if I bite you
I bet you like it

French Vanilla's a hell of a flavor for me
With strawberries, two cherries and whipped cream
The best dreams are the wet dreams
And uh, the rest is just a flick without a sex scene

Orally, I speak the truth
'Cause the blacker the berry
The sweeter the juice
'Cause, Florida oranges and Georgia peaches

When they nice and ripe
They the best for eatin'
All these southern boys be cravin'
For a whole slice of pie after they main course

So if you game for it
I came for it
I got a thang for ya
That I can't ignore

She put that sugar on my tongue
She's gonna gimme, gimme some
She put it right there on my tongue
(Sweet, sweet, lover, lover)
Right there on my tongue
(She turns me on, like no other)

She put that sugar on my tongue
She's gonna gimme, gimme some
She put it right there on my tongue
(Sweet, sweet, lover, lover)
Right there on my tongue
(She turns me on, like no other)

She put that sugar on my tongue, tongue
Yippie yippie, yum yum
Goodie goodie gum drop
Put me in a tongue lock

Did it till my body went numb, numb
Laid her on her back, back
Turned her round, gave her bottom a smack, smack
She's a woman from the block with the best of weed

But I won't stop till I'm pullin' out tracks, tracks
It was lust at first sight
And she couldn't help sayin' that she wanted to get with me
And my size was just right

But she wanted a man with a little security
Said, I been around the world twice
And my name ring bells from Atlanta to Sicily
Said she wanted it all night
So put the bubbles in the tub and Ludacris she need

She put that sugar on my tongue
She's gonna gimme, gimme some
She put it right there on my tongue
(Sweet, sweet, lover, lover)
Right there on my tongue
(She turns me on, like no other)

She put that sugar on my tongue
She's gonna gimme, gimme some
She put it right there on my tongue
(Sweet, sweet, lover, lover)
Right there on my tongue
(She turns me on, like no other)

Yeah, yeah, yeah, yeah, yeah, yeah
Yeah, yeah, yeah

Sweetie you look so incredible
So delicious and so damn edible
All I need is some honey or syrup
With a lil' butter to rub down all your curves

And no need for the lemonade
Just a twist of lime and some grape Kool-Aid
Can I call you Caramel?
'Cause I'm 'bout to go coo-coo to taste your Coco Puffs

One bowl ought to fill me up
But that milk gotta be cold enough
So supper time that'll hold me up
I might choke myself if I don't slow it up, but

Honey, you look like a honeydew melon
Or strawberry with the whipped cream filling
Of the top part of the peach cobbler
But uh, the fruit platter ought to do me better

She put that sugar on my tongue
She's gonna gimme, gimme some
She put it right there on my tongue
(Sweet, sweet, lover, lover)
Right there on my tongue
(She turns me on, like no other)

She put that sugar on my tongue
She's gonna gimme, gimme some
She put it right there on my tongue
(Sweet, sweet, lover, lover)
Right there on my tongue
(She turns me on, like no other)
","Sugar (Gimme Some) [feat. Cee-Lo & Ludacris]","Trick Daddy"
"Oh Oh Oh Oh
Oh Oh Oh
Oh Oh
Oh Oh Oh
Oh Oh
Oh Oh
Oh Oh
Oh Oh Oh Oh
Oh Oh Oh
Oh
Oh Oh Oh

Werent't you the one who said that you don't want me anymore
And how you need your space and give the keys back to your door
And how I cry and try and try to make you stay with me
But still you said the love was gone and that I had to leave

Now you
Talking about a family
Now you
Saying I complete your dream
Now you
Saying I'm your everything
Your confusing me, what your saying to me
Don't play with me, don't play with me cause

What goes around comes around
What goes up must come down
Now who's crying, desiring to come back to me
What goes around comes around
What goes up must come down
Now who's crying, desiring to come back to me

I remember when I was sitting home alone
Waiting for you
To 3 o'clock in the morn'

And when you came home you'd always had some sorry excuse
And explaining to me like I was some kind of a fool
I sacrifice the things I want just to do things for you
But when it's time to do for me
You never come through

Now you
Wanna be a part of me
Now you
Have so much to say to me
Now you
Wanna make time for me
What you doing to me, your confusing me
Don't play with me, don't play with me cause

What goes around comes around
What goes up most come down
Now who's crying, desiring to come back to me
What goes around comes around
What goes up most come down
Now who's crying, desiring to come back to me

I remember when I was sitting home alone
Waiting for you
To 3 o'clock in the morn'
Night after night knowing something's going on
Wasn't long befo' I be go-a-go-a-gone

Lord knows it wasn't easy believe me
Never thought you'd be the one that would deceive me
And never do what your suppose to do
No need to approach me fool, cause I'm over you

What goes around comes around
What goes up must come down
Now who's crying, desiring to come back to me
What goes around comes around (yeah)
What goes up must come down
Gotta stop trying to come back to me
What goes around comes around
What goes up must come down
It's called Karma, baby
And it goes around
What goes around comes around
What goes up must come down
Now who's crying, desiring to come back to me
","Karma","Alicia Keys"
"How long before I get in?
Before it starts, before I begin?
How long before you decide?
Before I know what it feels like?
Where to, where do I go?
If you never try, then you'll never know
How long do I have to climb
Up on the side of this mountain of mine?

Look up, I look up at night
Planets are moving at the speed of light
Climb up, up in the trees
Every chance that you get is a chance you seize
How long am I going to stand
With my head stuck under the sand?
I'll start before I can stop
Before I see things the right way up

All that noise and all that sound
All those places I got found
And birds go flying at the speed of sound
To show you how it all began
Birds came flying from the underground
If you could see it, then you'd understand

Ideas that you'll never find
All the inventors could never design
The buildings that you put up
Japan and China all lit up
The sign that I couldn't read
Or a light that I couldn't see
Some things you have to believe
But others are puzzles, puzzling me

All that noise and all that sound
All those places I got found
And birds go flying at the speed of sound
To show you how it all began
Birds came flying from the underground
If you could see it, then you'd understand
Oh, when you see it, then you'll understand

All those signs, I knew what they meant
Some things you can't invent
Some get made and some get sent, ooh

And birds go flying at the speed of sound
To show you how it all began
Birds came flying from the underground
If you could see it, then you'd understand
Oh, when you see it, then you'll understand
","Speed of Sound","Coldplay"
"I don't need to be anything other
Than a prison guard's son
I don't need to be anything other
Than a specialist's son

I don't have to be anyone other
Than the birth of two souls in one
Part of where I'm going
Is knowing where I'm coming from

I don't want to be anything
Other than what I've been tryna be lately
All I have to do is think of me
And I have peace of mind

I'm tired of looking 'round rooms
Wondering what I gotta do
Or who I'm supposed to be
I don't want to be anything other than me

I'm surrounded by liars
Everywhere I turn
I'm surrounded by imposters
Everywhere I turn

I'm surrounded by identity crisis
Everywhere I turn
Am I the only one who noticed?
I can't be the only one who's learned

I don't want to be anything
Other than what I've been tryna be lately
All I have to do is think of me
And I have peace of mind

I'm tired of looking 'round rooms
Wondering what I gotta do
Or who I'm supposed to be
I don't want to be anything other than me

Can I have everyone's attention, please?
If you're not like this and that
You're gonna have to leave

I came from the mountain
The crust of creation
My whole situation made from clay to stone
And now I'm telling everybody

I don't want to be anything
Other than what I've been tryna be lately
All I have to do is think of me
And I have peace of mind

I'm tired of looking 'round rooms
Wondering what I've got to do
Or who I'm supposed to be
I don't want to be anything other than me

I don't want to be, hey, yeah, hey, yeah
I don't want to be, oh, oh
I don't want to be
I don't want to be anything
Anything other than me

Hey, yeah, yeah, yeah (I don't want to be)
Hey, yeah, yeah, yeah
Hey, yeah, yeah, yeah (I don't want to be)
Hey, yeah, yeah, yeah
Hey, yeah, yeah, yeah (I don't want to be)
Hey, yeah, yeah, yeah
Hey, yeah, yeah, yeah (I don't want to be)
","I Don't Want to Be","Gavin DeGraw"
"PRODUCTION & ENGINEERING","Mockingbird","Eminem"
"Ay, payita mía, guárdate la poesía
Guárdate la alegría pa'ti
Dame, dámelo (oh-ah)

No pido que todos los días sean de sol
No pido que todos los viernes sean de fiesta
Tampoco te pido que vuelvas rogando perdón
Si lloras con los ojos secos
Y hablando de ella

Ay, amor, me duele tanto

Me duele tanto

Que te fueras sin decir a donde
Ay, amor
Fue una tortura, perderte

Yo se que no he sido un santo
Pero lo puedo arreglar, amor

No solo de pan vive el hombre
Y no de excusas vivo yo

Solo de errores se aprende
Y hoy se que tuyo es mi corazón

Mejor te guardas todo eso
A otro perro con ese hueso
Y nos decimos adiós

Esto es otra vez, y esto es otra vez
Esto es otra vez, y esto es otra vez, no

No puedo pedir que el invierno perdone a un rosal
No puedo pedir a los olmos que entreguen peras
No puedo pedirle lo eterno a un simple mortal
Y andar arrojando a los cerdos miles de perlas

Ay, amor, me duele tanto
Me duele tanto
Que no creas más en mis promesas

Ay, amor

Es una tortura, perderte

Yo se que no he sido un santo
Pero lo puedo arreglar amor

No solo de pan vive el hombre
Y no de excusas vivo yo

Solo de errores se aprende
Y hoy se que tuyo es mi corazón

Mejor te guardas todo eso
A otro perro con ese hueso
Y nos decimos adiós

Dame, dámelo (oh-ah)

No te bajes, no te bajes
Oye, negrita, mira, no te rajes
De lunes a viernes tienes mi amor
Déjame el sábado a mi que es mejor
Oye, mi negra no me castigues más
Porque alláafuera sin ti no tengo paz
Yo solo soy un hombre muy arrepentido
Soy como el ave que vuelve a su nido

Yo se que no he sido un santo
Y es que no estoy hecho de cartón

No solo de pan vive el hombre
Y no de excusas vivo yo

Solo de errores se aprende
Y hoy se que es tuyo mi corazón

Ay, ay, ay-ay-ay
Ay, todo lo que he hecho por ti
Fue una tortura perderte
Me duele tanto que sea asi
Sigue llorando perdón
Yo, yo no voy
A llora-ar por ti
","La Tortura (feat. Alejandro Sanz)","Shakira"
"Hey, how you doin' lil' mama? Let me whisper in ya ear
Tell ya somethin' that ya might like to hear
Got a sexy ass body and ya ass look soft
Mind if I touch it to see if it's soft?
Nah, I'm just playin' 'less you say I can
And I'm known to be a real nasty man
And they say a closed mouth don't get fed
So, I don't mind askin' for head

You heard what I said, we need to make our way to the bed
You can start using your head
You like to fuck, have ya legs open all in the buck
Toot it up, slappin' ass, girl, the sex get rough
Switch position and let the dick get down to business
So you can see what you been missing
You might had some, but you never had none like this
Just wait 'til you see my dick (ooh)

Ayy, bitch, wait 'til you see my dick
Wait 'til you see my dick
Ayy, bitch, wait 'til you see my dick
I'ma beat that pussy up
Ayy, bitch, wait 'til you see my dick
Wait 'til you see my dick
Ayy bitch, wait 'til you see my dick
I'ma beat that pussy up

Like B-AM, B-AM, B-AM, B-AM
B-AM, B-AM, B-AM, B-AM
B-AM, B-AM, B-AM, B-AM
B-AM, B-AM, B-AM, B-AM
Beat the pussy up, beat the pussy up
Beat the pussy up, beat the pussy up
Beat the pussy up, beat the pussy up
Beat the pussy up, beat the pussy up (ooh)

You fine, but I ain't gon' sweat you
See, I wanna fuck, tell me what's up
Walk around the club with your thumb in your mouth
Put my dick in, take your thumb out
That might be a lil' kosher to deal with
Wet fat hoes, they don't spill shit
I keep a ho hot when I'm puttin' in work
You wanna skeet-skeet, you 'bout to get your feelings hurt
'Cause I beat that cat with a dog

And knock the walls off a broad 'til she squall
Like (""ooh""), yeah, it's on like that
But it depend on the swing of the baseball bat
Fuck the bitch on the counter and make the plates fall back
On the floor, she ain't stealing 'cause she nut, so they crack
Crack, crack
Fuck that, bend over, I'ma give you a smack, bap (ooh)

Ayy, bitch, wait 'til you see my dick
Wait 'til you see my dick
Ayy, bitch, wait 'til you see my dick
I'ma beat that pussy up
Ayy, bitch, wait 'til you see my dick
Wait 'til you see my dick
Ayy bitch, wait 'til you see my dick
I'ma beat that pussy up

Like B-AM, B-AM, B-AM, B-AM
B-AM, B-AM, B-AM, B-AM
B-AM, B-AM, B-AM, B-AM
B-AM, B-AM, B-AM, B-AM
Beat the pussy up, beat the pussy up
Beat the pussy up, beat the pussy up
Beat the pussy up, beat the pussy up
Beat the pussy up, beat the pussy up (ooh)
","Wait (The Whisper Song)","Ying Yang Twins"
"Empty spaces fill me up with holes
Distant faces with no place left to go
Without you, within me I can find no rest
Where I'm going is anybody's guess

I tried to go on like I never knew you
I'm awake but my world is half asleep
I pray for this heart to be unbroken
But without you all I'm going to be is, incomplete

Voices tell me I should carry on
But I am swimming in an ocean all alone
Baby, my baby
It's written on your face
You still wonder if we made a big mistake

I tried to go on like I never knew you
I'm awake but my world is half asleep
I pray for this heart to be unbroken
But without you all I'm going to be is, incomplete

I don't mean to drag it on
But I can't seem to let you go
I don't wanna make you face this world alone
I wanna let you go (alone)

I tried to go on like I never knew you
I'm awake but my world is half asleep
I pray for this heart to be unbroken
But without you all I'm going to be is, incomplete

Incomplete
","Incomplete","Backstreet Boys"
"Woo! Bring 'em out, bring 'em out, bring 'em out, bring 'em out
It's hard to yell when the barrel's in ya mouth (Swizzy)
Bring 'em out, bring 'em out (ayy!) (Swizz Beatz)
Bring 'em out, bring 'em out (T.I.)
Bring 'em out, bring 'em out (ayy!)
Bring 'em out, bring 'em out

TIP, coming live from the VIP
Heard the night life lost life without me
Both the Feds and the State wanna see 'bout me
The whole city got biz-zerk, he got three
That other nigga got a hit, but shawty, he not me
Who set the city on fire as soon as he got freed

The king back now, hoes don't even know how to act now
Hit the club stippers gettin naked 'fore I sat down
Still ballin', money stack taller than Shaq now
Still push a button to let the roof on the 'Lac down
I'm on the road doin' shows puttin my mack down
Mississippi to Philly, Albuquerque to Chatt Town

I got the crowd yellin' (bring 'em out, bring 'em out)
Ayy, all my hot girls yellin' (bring 'em out, bring 'em out)
Ayy, all the dope boys yellin' (bring 'em out, bring 'em out)
Ayy, from the back, they yellin' (bring 'em out, bring 'em out)

Yeah, what other rap nigga hooder than this?
I got rich and I'm still on some hooligan shit
You be rappin' 'bout blow, I was movin' the shit
You talkin' 'bout shootin out, and I was doin' the shit
If I hit you in the face you gon' be suin' and shit
And if I catch another case, I know I'll truly be missed

So I'ma keep it cool, head stay out of the news
Headlines and shows, other rappers is bedtime (bedtime)
It's clear to see that I'm ahead of my time
I copped a chromed out hard top Carrera to shine
I got some time, it ain't shit 'cause I get better with time
Who got a flow and a live show better than mine

I got a packed house yellin' (bring 'em out, bring 'em out)
Ayy, all my hot girls yellin' (bring 'em out, bring 'em out)
Ayy, all the dope boys yellin' (bring 'em out, bring 'em out)
Ayy, from the back they yellin' (bring 'em out, bring 'em out)

Mic check 1-2, 1-2, you wanna beef with the king? What is you gon' do?
Will you show up on the scene with two guns drew?
Or you and your friend'll play a little two-on-two?
If you knew half of what I knew, then you'll be hittin' the deck
I got a tool and a vest, I can get some respect
I'ma make it hard for a sucker nigga to flex
Sho' 'em, this ain't the squad for a nigga to test

Pimp, my nuts too large, and we way too fresh
Work well with Nines, AK's and TECs
And quick to check a lame like a game of chess
You want beef? Nigga, bring ya best 'cause we'll be standin'-

In ya front yard yellin' (bring 'em out, bring 'em out)
Ayy, all my hot girls yellin' (bring 'em out, bring 'em out)
Ayy, all the dope boys yellin' (bring 'em out, bring 'em out)
Ayy, from the back, they yellin' (bring 'em out, bring 'em out)

In ya front yard yellin' (bring 'em out, bring 'em out)
Ayy, all my hot girls yellin' (bring 'em out, bring 'em out)
Ayy, all the dope boys yellin' (bring 'em out, bring 'em out)
Ayy, from the back they yellin' (bring 'em out, bring 'em out)

Hands in the air, now!
Hands in the air, now!
Hands-hands in-the-in-the air-air now!
Hands in the air, now!

Hands in the air, now!
Hands in the air, now!
Hands-hands in-the-in-the air-air now!
Hands in the air, now!

I can't hear you (bring 'em out, bring 'em out)
(Bring 'em out, bring 'em out)
I can't hear you (bring 'em out, bring 'em out)
(Bring 'em out, bring 'em out)
I can't hear you (bring 'em out, bring 'em out)
(Bring 'em out, bring 'em out)
I can't hear you (bring 'em out, bring 'em out)
(Bring 'em out, bring 'em out)

You just the heard the sound of the King of the South, T.I.
I go by the name of Swizz Beat the Monster
I need y'all to rewind this and play this from the top
(Bring 'em out, bring 'em out, bring 'em out, bring 'em out)
(Bring 'em out, bring 'em out, bring 'em out, bring 'em out)
That shit was crazy
","Bring Em Out","T.I."
"Baby I see you working hard
I want to let you know I'm proud
Let you know that I admire what you do
The more if I need to reassure you
My life would be purposeless without you (Yeah)
If I want it (Got it)
When I ask you (You provide it)

You inspire me to be better
You challenge me for the better
Sit back and let me pour out my love letter

Let me help you
Take off your shoes
Untie your shoe strings
Take off your cufflinks (Yeah)
What you wanna eat, boo? (Yeah)
Let me feed you
Let me run your bathwater
Whatever you desire, I'll supply ya
Sing you a song
Turn my game on
I'll brush your hair
Help you put your do-rag on
Want a foot rub (Yeah)
Want a manicure
Baby I'm yours I wanna cater to you, boy

Let me cater to you
'Cause baby this is your day
Do anything for my man
Baby you blow me away
I got your slippers
Your dinner
Your dessert and so much more
Anything you want

Let me cater to you
Inspire me from the heart
Can't nothing tear us apart
You all I want in a man
I put my life in your hands
I got your slippers
Your dinner
Your dessert and so much more
Anything you want, I wanna cater to you

Baby I'm happy you're home
Let me hold you in my arms
I just want to take the stress away from you
Making sure that I'm doing my part (Oh)
Is there something you need me to do? (Oh)
If you want it, (I got it)
Say the word I (I will try it)
I know whatever I'm not fulfilling (Oh)
No other woman is willing (Oh)

I'm gon' fulfill your mind, body and spirit
I promise you (Promise you)
I'll keep myself up (Oh)
Remain the same chick (Yeah)
You fell in love with (Yeah)
I'll keep it tight
I'll keep my figure right
I'll keep my hair fixed
Keep rockin' the hottest outfits
When you come home late, tap me on my shoulder, I'll roll over
Baby I heard you
I'm here to serve you
If it's love you need, to give it is my joy
All I wanna do, is cater to you boy

Let me cater to you
'Cause baby this is your day
Do anything for my man
Baby you blow me away
I got your slippers
Your dinner
Your dessert and so much more
Anything you want

Let me cater to you
Inspire me from the heart
Can't nothing tear us apart
You all I want in a man
I put my life in your hands
I got your slippers
Your dinner
Your dessert and so much more
Anything you want, I wanna cater to you

I wanna give you my breath
My strength
My will to be here
That's the least I can do
Let me cater to you
Through the good (Good)
The bad (Bad)
The ups and the downs (Ups and downs)
I'll still be here for you

Let me cater to you
'Cause you're beautiful (You're beatiful)
I love the way you are (You are)
Fullfill your every desire (Desire)
Your wish is my command (Command)
I wanna cater to my man
Your heart (Your heart)
So pure your love shines through (Shines through)
The darkness we'll get through (So much)
So much of me is you (Is you)
I wanna cater to my man

Let me cater to you
'Cause baby this is your day
Do anything for my man
Baby you blow me away
I got your slippers
Your dinner
Your dessert and so much more
Anything you want

Let me cater to you
Inspire me from the heart
Can't nothing tear us apart
You all I want in a man
I put my life in your hands
I got your slippers
Your dinner
Your dessert and so much more
Anything you want, I wanna cater to you
","Cater 2 U","Destiny's Child"
